Club_Name, Store_Name, Time, Address, Phone
venue food,Cheese Store of Silverlake,Mon -Sun: 10am -6pm,3926 Sunset Silver Lake,(323) 644-7511
venue food,Locali & The Badasserie,Mon -Fri: 8am -10pm,5825 Franklin Hollywood,(323) 466 - 1360
venue food,Amara Kitchen,Mon-Sun: 8am-6pm,519 N Ave 64 Highland Park,(323) 255-2220
venue food,Kismet,Friday - Sun: 10 am -11 pm ,4648 Hollywood Los Feliz,
venue food,Elysian,Wed-Sat: 6:30pm-10:30pmFri & Sat: Happy Hour at 5pm,2806 Clearwater Frogtown,(323) 522-6625
venue food,Burgerlords,Sun - Thurs: 11am - 9pmFri & Sat: 11am -10pm,943 N Broadway Chinatown,
venue food,Dune,Mon-Thurs: 11am - 8pmFri & Sat: 11am-10pm,3143 Glendale Atwater Village,(323) 486-7073
venue food,Erin McKenna's Bakery,Mon - Thurs 9am - 9pmFri & Sat 9am - 10pmSun 9am - 8pm,236 N Larchmont Larchmont Village,323-463-2023
venue food,Delicious Pizza,Mon - Sun 7am - 11pm,5419 W Adams West Adams,323-424-3014
venue food,Madcapra,Sun - Wed 10am - 5pmThurs - Sat 10am - 9pm,317 S Broadway Downtown,
venue food,Prufrock Pizzeria,Mon - Fri 11am - 1amSat & Sun 10am - 1am,446 S Main Downtown,323-284-5661
venue food,Scoops Chinatown,Tue - Sat 12pm - 10pm,727 N Broadway Chinatown,323-739-8675
venue food,Thank You For Coming,Sat & Sun 11am - 3pm,3416 Glendale Atwater Village,323-648-2666
venue food,Donut Friend,Tue - Thurs 7am - 10pmFri - Sat 7am - 12amSun 7am - 10pm,5107 York Highland Park,213-995-6191
venue food,Upstairs at Ace Hotel Downtown LA,Mon-Sun: 11am - 2am,933 S Broadway Downtown,213-623-3233
venue city,EVERYBODY,Mon-Fri:  6am-8pmSat & Sun: 7am-6pm,1845 N San Fernando Cypress Park,(323) 352-8618
venue city,The O.J. Tour,By Appointment,Brentwood Brentwood,(310) 614-4163
venue city,Skirball Cultural Center,Mon ClosedTue-Fri	12pm - 5pmSat & Sun 10am - 5pm,2701 N Sepulveda Brentwood,(310) 440-4500
venue city,La Brea Tar Pits & Museum,Mon-Sun: 9:30am-5pm,5801 Wilshire Mid-Wilshire,(213) 763-3499
venue city,Natural History Museum,Mon -Sun 9:30am - 5pm,900 Exposition Blvd Exposition Park,(213) 763-3466
venue city,Clockshop,Hours Vary,2806 Clearwater Frogtown,323-522-6014
venue city,LA Beer Hop,Hours Vary,Locations Vary The Internet,323-928-2113
venue art,The Main Museum,Wed-Sun: 12pm - 7 pm,114 W 4th Downtown,(213) 986-8500
venue art,Women's Center for Creative Work,Mon -Fri: 10am -6pm,2425 Glover Place Frogtown,(323) 739 - 8847
venue art,The Autry,Tues - Fri: 10am - 4pmSat & Sun: 10am - 5pm,4700 Western Heritage Way Griffith Park,(323) 667-2000
venue art,LACMA,Mon and  Tues and  Thurs: 11 am - 5 pmFriday: 11 am -8 pmSaturday & Sunday: 10 am -7 pm,5905 Wilshire Mid-Wilshire,(323) 857-6010
venue art,Artist & Craftsman Supply,Mon -Sat 9am -7pmSun 11am - 6pm,1921 E 7th St Arts District,213-955-9055
venue art,Craft & Folk Art Museum,Tue - Fri 11am - 5pmSat & Sun 12 - 6pm,5814 Wilshire Mid-Wilshire,323-937-4230
venue art,The Posters Co.,24 Hrs,Los Angeles The Internet,
venue art,Geffen Playhouse,Hours Vary,10886 Le Conte Westwood,310-208-5454
