Recommended Events
Event_Name, Location, Price
Kiss Me Deadly,7:30pm @ Laemmle's NoHo 7,$12
Industrial Accident: The Story of Wax Trax! Records,8:00pm @ Montalban Theatre,$25 & $76
Hollywood in Havana: Five Decades of Cuban Posters...,12:00pm @ Pasadena Museum of California Art,$7  $5 students and seniors  children 12 and under free
X: 40 Years of Punk in Los Angeles,10:30am @ Grammy Museum,$12.95  $11.95 seniors and students  $10.95 children
Dia de los Muertos: A Cultural Legacy  Past  Present &...,12:00pm @ Self Help Graphics & Art,Free
Play!,10:00am @ The Autry,$14  $10 students and seniors  $6 children  free under 2
Transpacific Borderlands: The Art of Japanese Disapora...,12:00pm @ Japanese American National Museum,$12  $6 seniors & students  5 and under free
Cuba Is,11:00am @ Annenberg Space for Photography,Free
Becoming Los Angeles,All Day @ Natural History Museum of Los Angeles County,
Hassan Hajjaj: My Rock Stars Experimental  Volume I,All Day @ LACMA,
Levitated Mass,All Day @ LACMA,
Katherine Bernhardt: Fruit Salad,All Day @ Venus Over Los Angeles,Free
Tree of Testimony: L.A. Museum of the Holocaust,10:00am @ Los Angeles Museum of the Holocaust,Free
Patricia Fernandez's Point of Departure: Five Walks,12:00pm @ Commonwealth & Council,Free
Last Day of School: The Txt Msg Show / Convoy,11:00pm @ UCB Franklin,
Henry Taylor at the Line Hotel,All Day @ The Line Hotel,Free


Other Events
Event_Name, Location, Price
Curtis Harding,8:30pm @ The Echo,$14
Jay Dee Maness  Cody Bryant  Skip Edwards  Ronnie Mack,8:45pm @ Cody's Viva Cantina,Free
Reflecting Culture: The Francis E. Fowler Jr. Collection...,All Day @ Fowler Museum at UCLA,
La Brea Tar Pits,9:30am @ Page Museum,
Funkmosphere,9:30pm @ The Virgil,Free-$5
Jazz Jam Session,9:00pm @ The World Stage,$5
Noah's Ark at the Skirball,All Day @ Skirball Cultural Center,TICKETS
Intersections: World Arts  Local Lives,All Day @ Fowler Museum at UCLA,
Visions and Values: Jewish Life From Antiquity to America,All Day @ Skirball Cultural Center,TICKETS
Western Frontiers: Stories of Fact and Fiction,All Day @ The Autry,
Marty & Elayne,9:00pm @ The Dresden Restaurant,Free
The Just Dave Band,8:00pm @ Gaslamp Restaurant & Bar,TBA
An Evening with Scott Adams,8:00pm @ The Ann and Jerry Moss Theater--New Roads School,$20-$55
Temp to Hire Seminar (Los Angeles),1:30pm @ The Actors Fund - Western Region,TBA
A Midsummer Night's Dream,7:00pm @ Studio Theatre (room 108),$0-$15
Lewis Howes Book Release Party: The Mask of Masculinity,7:00pm @ Unplug Meditation,$29
Silicon Beach Networking Mixer At WeWork in Playa Vista...,6:00pm @ Wework,$18-$45
The Bad Plus,8:00pm @ The Echoplex,$30
BRUTALLY HONEST: A STANDUP COMEDY SHOW 11/9/17  8-9:45PM...,8:00pm @ Lyric Hyperion Theatre & Cafe,$13-$15
Premios de la Radio,3:15pm @ Dolby Theatre,$100
Leather Workshop: DIY Key Clip x Small Batch Supply Co.,7:00pm @ 262 S Los Angeles St,$15
